Destination,Start date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,source
Aracaju (SE),2023-05-14,3.0,43.0,None,,Hotel AU,938.49,First Class Flight,2389.68,dataset_2
Aracaju (SE),2019-12-13,1.0,55.0,None,,Hotel A,313.02,First Class Flight,2983.8199999999997,dataset_2
Recife (PE),2020-02-24,4.0,55.0,None,,Hotel K,1053.64,First Class Flight,2924.96,dataset_2
Brasilia (DF),2020-03-12,1.0,55.0,None,,Hotel BP,247.62,First Class Flight,2174.1099999999997,dataset_2
Aracaju (SE),2020-03-13,1.0,55.0,None,,Hotel BP,247.62,First Class Flight,2174.1099999999997,dataset_2
Brasilia (DF),2020-03-21,2.0,55.0,None,,Hotel AU,625.66,First Class Flight,1494.1399999999999,dataset_2
Brasilia (DF),2020-07-13,4.0,55.0,None,,Hotel AU,1251.32,First Class Flight,1388.6100000000001,dataset_2
Recife (PE),2020-07-20,4.0,55.0,None,,Hotel A,1252.08,premium,2083.94,dataset_2
Aracaju (SE),2020-07-25,2.0,55.0,None,,Hotel BP,495.24,First Class Flight,2185.56,dataset_2
Aracaju (SE),2020-09-05,2.0,55.0,None,,Hotel BW,120.78,premium,2236.98,dataset_2
Campo Grande (MS),2020-12-24,3.0,55.0,None,,Hotel BW,181.17,Economy Flight,1090.16,dataset_2
Brasilia (DF),2020-12-27,3.0,55.0,None,,Hotel BW,181.17,Economy Flight,1090.16,dataset_2
Brasilia (DF),2021-01-31,3.0,55.0,None,,Hotel Z,624.12,Economy Flight,1269.8200000000002,dataset_2
Aracaju (SE),2021-03-21,3.0,55.0,None,,Hotel AU,938.49,premium,1807.63,dataset_2
Sao Paulo (SP),2021-06-03,4.0,55.0,None,,Hotel AF,556.4,premium,1853.13,dataset_2
Recife (PE),2021-06-07,4.0,55.0,None,,Hotel AF,556.4,premium,1853.13,dataset_2
Brasilia (DF),2021-07-15,3.0,55.0,None,,Hotel BP,742.86,premium,1141.99,dataset_2
Recife (PE),2021-07-18,3.0,55.0,None,,Hotel BP,742.86,premium,1141.99,dataset_2
Brasilia (DF),2021-08-22,3.0,55.0,None,,Hotel Z,624.12,premium,1742.69,dataset_2
Aracaju (SE),2021-09-20,4.0,55.0,None,,Hotel K,1053.64,Economy Flight,1776.56,dataset_2
Recife (PE),2021-10-18,4.0,55.0,None,,Hotel K,1053.64,First Class Flight,2944.6499999999996,dataset_2
Campo Grande (MS),2021-11-25,3.0,55.0,None,,Hotel BW,181.17,premium,2236.98,dataset_2
Aracaju (SE),2021-11-28,3.0,55.0,None,,Hotel BW,181.17,premium,2236.98,dataset_2
Brasilia (DF),2021-12-09,3.0,55.0,None,,Hotel BP,742.86,premium,1141.99,dataset_2
Recife (PE),2021-12-12,3.0,55.0,None,,Hotel BP,742.86,premium,1141.99,dataset_2
Sao Paulo (SP),2022-03-17,3.0,55.0,None,,Hotel AF,417.3,Economy Flight,1094.63,dataset_2
Aracaju (SE),2022-03-20,3.0,55.0,None,,Hotel AF,417.3,Economy Flight,1094.63,dataset_2
Natal (RN),2022-06-16,2.0,55.0,None,,Hotel BD,485.76,Economy Flight,731.28,dataset_2
Recife (PE),2022-06-18,2.0,55.0,None,,Hotel BD,485.76,Economy Flight,731.28,dataset_2
Salvador (BH),2022-06-30,2.0,55.0,None,,Hotel K,526.82,First Class Flight,3296.34,dataset_2
Aracaju (SE),2022-07-02,2.0,55.0,None,,Hotel K,526.82,First Class Flight,3296.34,dataset_2
Recife (PE),2022-10-21,1.0,55.0,None,,Hotel BD,242.88,premium,1037.83,dataset_2
Rio de Janeiro (RJ),2022-12-08,4.0,55.0,None,,Hotel CB,663.96,Economy Flight,1841.52,dataset_2
Recife (PE),2022-12-12,4.0,55.0,None,,Hotel CB,663.96,Economy Flight,1841.52,dataset_2
Recife (PE),2023-01-28,2.0,55.0,None,,Hotel BD,485.76,First Class Flight,1413.94,dataset_2
Natal (RN),2023-02-16,2.0,55.0,None,,Hotel BD,485.76,Economy Flight,1489.17,dataset_2
Brasilia (DF),2023-02-18,2.0,55.0,None,,Hotel BD,485.76,Economy Flight,1489.17,dataset_2
Aracaju (SE),2023-03-05,3.0,55.0,None,,Hotel AU,938.49,First Class Flight,2290.21,dataset_2
Aracaju (SE),2023-04-23,3.0,55.0,None,,Hotel A,939.06,Economy Flight,1671.59,dataset_2
Brasilia (DF),2020-04-25,2.0,49.0,Male,,Hotel BD,485.76,Economy Flight,1489.17,dataset_2
Recife (PE),2020-06-14,3.0,49.0,Male,,Hotel A,939.06,First Class Flight,2655.13,dataset_2
Brasilia (DF),2020-07-03,1.0,49.0,Male,,Hotel K,263.41,premium,2183.49,dataset_2
Rio de Janeiro (RJ),2021-03-04,3.0,49.0,Male,,Hotel CB,497.97,premium,2029.0500000000002,dataset_2
Aracaju (SE),2021-03-07,3.0,49.0,Male,,Hotel CB,497.97,premium,2029.0500000000002,dataset_2
Recife (PE),2021-04-22,3.0,49.0,Male,,Hotel AU,938.49,First Class Flight,1513.49,dataset_2
Brasilia (DF),2021-04-25,3.0,49.0,Male,,Hotel AU,938.49,First Class Flight,1513.49,dataset_2
Recife (PE),2021-06-25,1.0,49.0,Male,,Hotel K,263.41,premium,2353.06,dataset_2
Aracaju (SE),2021-07-05,4.0,49.0,Male,,Hotel AF,556.4,Economy Flight,1133.53,dataset_2
Brasilia (DF),2021-08-30,4.0,49.0,Male,,Hotel BW,241.56,premium,1493.02,dataset_2
Aracaju (SE),2021-12-06,4.0,49.0,Male,,Hotel BW,241.56,premium,2236.98,dataset_2
Aracaju (SE),2021-12-24,1.0,49.0,Male,,Hotel BD,242.88,premium,987.3600000000001,dataset_2
Brasilia (DF),2022-01-16,3.0,49.0,Male,,Hotel A,939.06,premium,2036.79,dataset_2
Aracaju (SE),2022-01-21,1.0,49.0,Male,,Hotel K,263.41,Economy Flight,1769.38,dataset_2
Aracaju (SE),2022-03-06,3.0,49.0,Male,,Hotel A,939.06,First Class Flight,2983.8199999999997,dataset_2
Recife (PE),2022-04-16,2.0,49.0,Male,,Hotel K,526.82,First Class Flight,2944.6499999999996,dataset_2
Brasilia (DF),2020-06-19,1.0,27.0,Male,,Hotel AF,139.1,premium,1300.22,dataset_2
Recife (PE),2020-07-05,3.0,27.0,Male,,Hotel Z,624.12,premium,1768.0500000000002,dataset_2
Recife (PE),2020-07-11,2.0,27.0,Male,,Hotel Z,416.08,Economy Flight,1289.02,dataset_2
Aracaju (SE),2020-10-26,4.0,27.0,Male,,Hotel A,1252.08,First Class Flight,3074.21,dataset_2
Natal (RN),2019-10-17,1.0,23.0,Female,,Hotel BD,242.88,premium,1965.76,dataset_2
Brasilia (DF),2019-10-18,1.0,23.0,Female,,Hotel BD,242.88,premium,1965.76,dataset_2
Salvador (BH),2019-11-14,1.0,23.0,Female,,Hotel K,263.41,Economy Flight,1609.38,dataset_2
Recife (PE),2019-11-15,1.0,23.0,Female,,Hotel K,263.41,Economy Flight,1609.38,dataset_2
Aracaju (SE),2019-12-22,3.0,23.0,Female,,Hotel BW,181.17,premium,2236.98,dataset_2
Aracaju (SE),2020-01-11,2.0,23.0,Female,,Hotel CB,331.98,Economy Flight,1513.46,dataset_2
Brasilia (DF),2020-02-21,1.0,48.0,None,,Hotel A,313.02,First Class Flight,2666.82,dataset_2
Brasilia (DF),2020-02-23,3.0,49.0,Female,,Hotel AF,417.3,premium,1300.22,dataset_2
Aracaju (SE),2020-04-23,2.0,49.0,Female,,Hotel Z,416.08,premium,1671.98,dataset_2
Brasilia (DF),2020-04-25,2.0,49.0,Female,,Hotel Z,416.08,premium,1671.98,dataset_2
Recife (PE),2020-05-28,3.0,49.0,Female,,Hotel AU,938.49,premium,1807.63,dataset_2
Aracaju (SE),2020-05-31,3.0,49.0,Female,,Hotel AU,938.49,premium,1807.63,dataset_2
Aracaju (SE),2020-06-12,1.0,49.0,Female,,Hotel AU,312.83,Economy Flight,1289.02,dataset_2
Recife (PE),2020-06-28,3.0,49.0,Female,,Hotel A,939.06,premium,2083.94,dataset_2
Brasilia (DF),2020-08-15,2.0,49.0,Female,,Hotel K,526.82,First Class Flight,2706.08,dataset_2
Recife (PE),2020-11-06,1.0,49.0,Female,,Hotel CB,165.99,Economy Flight,1863.5300000000002,dataset_2
Aracaju (SE),2020-12-06,3.0,49.0,Female,,Hotel BD,728.64,First Class Flight,1161.3600000000001,dataset_2
Recife (PE),2021-02-18,4.0,49.0,Female,,Hotel AU,1251.32,premium,1197.76,dataset_2
Brasilia (DF),2021-02-22,4.0,49.0,Female,,Hotel AU,1251.32,premium,1197.76,dataset_2
Aracaju (SE),2021-02-27,2.0,49.0,Female,,Hotel BD,485.76,First Class Flight,1189.3000000000002,dataset_2
Brasilia (DF),2021-03-19,1.0,49.0,Female,,Hotel A,313.02,First Class Flight,2614.88,dataset_2
Recife (PE),2019-09-27,1.0,39.0,Male,,Hotel BD,242.88,Economy Flight,731.28,dataset_2
Aracaju (SE),2020-02-02,3.0,39.0,Male,,Hotel K,790.23,premium,2497.83,dataset_2
Brasilia (DF),2020-02-09,3.0,39.0,Male,,Hotel A,939.06,Economy Flight,1444.08,dataset_2
Recife (PE),2020-03-20,1.0,39.0,Male,,Hotel CB,165.99,First Class Flight,3409.12,dataset_2
Aracaju (SE),2020-04-10,1.0,39.0,Male,,Hotel AF,139.1,First Class Flight,1916.58,dataset_2
Aracaju (SE),2020-05-01,1.0,39.0,Male,,Hotel K,263.41,premium,2536.0699999999997,dataset_2
Florianopolis (SC),2020-07-02,3.0,39.0,Male,,Hotel A,939.06,premium,2324.5,dataset_2
Aracaju (SE),2020-07-05,3.0,39.0,Male,,Hotel A,939.06,premium,2324.5,dataset_2
Aracaju (SE),2020-08-22,2.0,39.0,Male,,Hotel AU,625.66,premium,1768.0500000000002,dataset_2
Recife (PE),2020-09-07,4.0,39.0,Male,,Hotel CB,663.96,premium,2603.55,dataset_2
Campo Grande (MS),2020-09-10,3.0,39.0,Male,,Hotel BW,181.17,Economy Flight,1147.3600000000001,dataset_2
Brasilia (DF),2020-09-13,3.0,39.0,Male,,Hotel BW,181.17,Economy Flight,1147.3600000000001,dataset_2
Recife (PE),2020-12-12,2.0,39.0,Male,,Hotel AF,278.2,Economy Flight,1342.9699999999998,dataset_2
Brasilia (DF),2020-12-19,2.0,39.0,Male,,Hotel K,526.82,Economy Flight,1546.0,dataset_2
Aracaju (SE),2021-04-04,3.0,39.0,Male,,Hotel BD,728.64,premium,987.3600000000001,dataset_2
Aracaju (SE),2021-05-03,4.0,39.0,Male,,Hotel A,1252.08,Economy Flight,1671.59,dataset_2
Brasilia (DF),2021-06-03,2.0,39.0,Male,,Hotel BP,495.24,premium,1141.99,dataset_2
Recife (PE),2021-06-05,2.0,39.0,Male,,Hotel BP,495.24,premium,1141.99,dataset_2
Recife (PE),2021-07-11,3.0,39.0,Male,,Hotel Z,624.12,premium,1807.63,dataset_2
Recife (PE),2021-08-29,3.0,39.0,Male,,Hotel BW,181.17,premium,1753.06,dataset_2
Brasilia (DF),2021-09-26,3.0,39.0,Male,,Hotel BW,181.17,premium,1493.02,dataset_2
Brasilia (DF),2021-10-08,1.0,39.0,Male,,Hotel K,263.41,premium,2183.49,dataset_2
Recife (PE),2022-01-29,2.0,39.0,Male,,Hotel BW,120.78,Economy Flight,1289.75,dataset_2
Brasilia (DF),2022-02-13,3.0,39.0,Male,,Hotel BW,181.17,First Class Flight,2046.57,dataset_2
Aracaju (SE),2022-04-04,4.0,39.0,Male,,Hotel BP,990.48,Economy Flight,1269.8200000000002,dataset_2
Recife (PE),2022-04-11,4.0,39.0,Male,,Hotel A,1252.08,Economy Flight,1435.72,dataset_2
Brasilia (DF),2020-02-08,2.0,28.0,Male,,Hotel Z,416.08,premium,1742.69,dataset_2
Florianopolis (SC),2019-10-31,2.0,29.0,Female,,Hotel A,626.04,First Class Flight,2983.8199999999997,dataset_2
Aracaju (SE),2019-11-02,2.0,29.0,Female,,Hotel A,626.04,First Class Flight,2983.8199999999997,dataset_2
Brasilia (DF),2019-12-08,3.0,29.0,Female,,Hotel BD,728.64,First Class Flight,2625.97,dataset_2
Aracaju (SE),2020-01-31,1.0,29.0,Female,,Hotel BP,247.62,First Class Flight,2185.56,dataset_2
Recife (PE),2020-05-10,3.0,29.0,Female,,Hotel K,790.23,premium,2353.06,dataset_2
Recife (PE),2020-07-13,4.0,29.0,Female,,Hotel BW,241.56,Economy Flight,1289.75,dataset_2
Sao Paulo (SP),2020-08-27,2.0,29.0,Female,,Hotel AF,278.2,Economy Flight,1373.0700000000002,dataset_2
Recife (PE),2020-08-29,2.0,29.0,Female,,Hotel AF,278.2,Economy Flight,1373.0700000000002,dataset_2
Recife (PE),2020-10-02,1.0,29.0,Female,,Hotel BP,247.62,First Class Flight,1388.6100000000001,dataset_2
Aracaju (SE),2020-11-07,2.0,29.0,Female,,Hotel CB,331.98,premium,2029.0500000000002,dataset_2
Recife (PE),2021-01-08,1.0,29.0,Female,,Hotel K,263.41,First Class Flight,2944.6499999999996,dataset_2
Aracaju (SE),2021-03-12,1.0,29.0,Female,,Hotel CB,165.99,premium,2029.0500000000002,dataset_2
Aracaju (SE),2021-04-16,1.0,29.0,Female,,Hotel K,263.41,First Class Flight,3215.9700000000003,dataset_2
Brasilia (DF),2021-04-23,1.0,29.0,Female,,Hotel K,263.41,premium,2151.83,dataset_2
Brasilia (DF),2019-09-29,3.0,36.0,Female,,Hotel AU,938.49,First Class Flight,1513.49,dataset_2
Aracaju (SE),2019-09-27,1.0,52.0,Female,,Hotel CB,165.99,premium,2029.0500000000002,dataset_2
Aracaju (SE),2019-10-12,2.0,52.0,Female,,Hotel BD,485.76,premium,987.3600000000001,dataset_2
Rio de Janeiro (RJ),2019-10-17,1.0,52.0,Female,,Hotel CB,165.99,First Class Flight,2629.9700000000003,dataset_2
Aracaju (SE),2019-10-18,1.0,52.0,Female,,Hotel CB,165.99,First Class Flight,2629.9700000000003,dataset_2
Sao Paulo (SP),2020-06-25,4.0,52.0,Female,,Hotel AF,556.4,First Class Flight,2026.03,dataset_2
Aracaju (SE),2020-06-29,4.0,52.0,Female,,Hotel AF,556.4,First Class Flight,2026.03,dataset_2
Rio de Janeiro (RJ),2020-10-29,1.0,52.0,Female,,Hotel CB,165.99,First Class Flight,3409.12,dataset_2
Recife (PE),2020-10-30,1.0,52.0,Female,,Hotel CB,165.99,First Class Flight,3409.12,dataset_2
Brasilia (DF),2020-12-04,1.0,52.0,Female,,Hotel AF,139.1,Economy Flight,927.6399999999999,dataset_2
Recife (PE),2020-12-28,4.0,52.0,Female,,Hotel AF,556.4,premium,1815.85,dataset_2
Florianopolis (SC),2021-01-07,3.0,52.0,Female,,Hotel A,939.06,First Class Flight,2726.67,dataset_2
Recife (PE),2021-01-10,3.0,52.0,Female,,Hotel A,939.06,First Class Flight,2726.67,dataset_2
Recife (PE),2021-01-16,2.0,52.0,Female,,Hotel BW,120.78,Economy Flight,1289.75,dataset_2
Campo Grande (MS),2021-01-21,2.0,52.0,Female,,Hotel BW,120.78,First Class Flight,2046.57,dataset_2
Brasilia (DF),2021-01-23,2.0,52.0,Female,,Hotel BW,120.78,First Class Flight,2046.57,dataset_2
Aracaju (SE),2021-02-22,4.0,52.0,Female,,Hotel BD,971.52,premium,906.62,dataset_2
Rio de Janeiro (RJ),2021-04-01,1.0,52.0,Female,,Hotel CB,165.99,Economy Flight,1513.46,dataset_2
Aracaju (SE),2021-04-02,1.0,52.0,Female,,Hotel CB,165.99,Economy Flight,1513.46,dataset_2
Brasilia (DF),2021-08-08,3.0,52.0,Female,,Hotel BD,728.64,First Class Flight,2721.54,dataset_2
Recife (PE),2021-08-21,2.0,52.0,Female,,Hotel Z,416.08,First Class Flight,2290.21,dataset_2
Brasilia (DF),2021-10-04,4.0,52.0,Female,,Hotel CB,663.96,premium,961.21,dataset_2
Salvador (BH),2021-11-25,2.0,52.0,Female,,Hotel K,526.82,Economy Flight,1613.05,dataset_2
Recife (PE),2021-11-27,2.0,52.0,Female,,Hotel K,526.82,Economy Flight,1613.05,dataset_2
Brasilia (DF),2021-12-12,3.0,52.0,Female,,Hotel BD,728.64,Economy Flight,1489.17,dataset_2
Aracaju (SE),2022-01-23,3.0,52.0,Female,,Hotel BD,728.64,First Class Flight,1189.3000000000002,dataset_2
Sao Paulo (SP),2022-02-24,3.0,52.0,Female,,Hotel AF,417.3,premium,1550.6799999999998,dataset_2
Aracaju (SE),2022-02-27,3.0,52.0,Female,,Hotel AF,417.3,premium,1550.6799999999998,dataset_2
Sao Paulo (SP),2022-03-31,3.0,52.0,Female,,Hotel AF,417.3,premium,1815.85,dataset_2
Recife (PE),2022-04-03,3.0,52.0,Female,,Hotel AF,417.3,premium,1815.85,dataset_2
Recife (PE),2019-10-26,2.0,47.0,None,,Hotel BP,495.24,First Class Flight,1513.49,dataset_2
Aracaju (SE),2019-11-02,2.0,47.0,None,,Hotel AF,278.2,First Class Flight,2026.03,dataset_2
Aracaju (SE),2020-04-17,1.0,47.0,None,,Hotel AU,312.83,First Class Flight,2389.68,dataset_2
Brasilia (DF),2020-05-11,4.0,47.0,None,,Hotel BW,241.56,premium,1493.02,dataset_2
Aracaju (SE),2020-07-03,1.0,47.0,None,,Hotel BP,247.62,First Class Flight,2185.56,dataset_2
Aracaju (SE),2020-12-14,4.0,47.0,None,,Hotel BW,241.56,First Class Flight,2933.67,dataset_2
Aracaju (SE),2019-10-05,2.0,48.0,Male,,Hotel K,526.82,Economy Flight,1776.56,dataset_2
Brasilia (DF),2019-12-05,3.0,48.0,Male,,Hotel BP,742.86,premium,1671.98,dataset_2
Aracaju (SE),2019-12-08,3.0,48.0,Male,,Hotel BP,742.86,premium,1671.98,dataset_2
Brasilia (DF),2020-07-06,4.0,48.0,Male,,Hotel AU,1251.32,premium,1141.99,dataset_2
Aracaju (SE),2020-08-02,3.0,48.0,Male,,Hotel AU,938.49,Economy Flight,1265.72,dataset_2
Natal (RN),2020-10-22,3.0,48.0,Male,,Hotel BD,728.64,First Class Flight,1175.27,dataset_2
Aracaju (SE),2020-10-25,3.0,48.0,Male,,Hotel BD,728.64,First Class Flight,1175.27,dataset_2
Recife (PE),2020-11-06,1.0,48.0,Male,,Hotel AF,139.1,Economy Flight,1342.9699999999998,dataset_2
Recife (PE),2021-01-09,2.0,48.0,Male,,Hotel Z,416.08,First Class Flight,2290.21,dataset_2
Aracaju (SE),2021-05-02,3.0,48.0,Male,,Hotel BW,181.17,First Class Flight,2849.5,dataset_2
Brasilia (DF),2021-05-10,4.0,48.0,Male,,Hotel BD,971.52,Economy Flight,1412.98,dataset_2
Brasilia (DF),2021-06-19,2.0,48.0,Male,,Hotel CB,331.98,premium,876.36,dataset_2
Brasilia (DF),2021-07-30,1.0,48.0,Male,,Hotel BD,242.88,First Class Flight,2625.97,dataset_2
Rio de Janeiro (RJ),2021-08-12,1.0,48.0,Male,,Hotel CB,165.99,Economy Flight,1841.52,dataset_2
Recife (PE),2021-08-13,1.0,48.0,Male,,Hotel CB,165.99,Economy Flight,1841.52,dataset_2
Recife (PE),2021-09-16,2.0,48.0,Male,,Hotel AU,625.66,premium,1141.99,dataset_2
Brasilia (DF),2021-09-18,2.0,48.0,Male,,Hotel AU,625.66,premium,1141.99,dataset_2
Aracaju (SE),2021-10-29,1.0,48.0,Male,,Hotel AU,312.83,Economy Flight,1289.02,dataset_2
Recife (PE),2021-12-11,2.0,48.0,Male,,Hotel A,626.04,premium,1993.4099999999999,dataset_2
Aracaju (SE),2022-01-03,4.0,48.0,Male,,Hotel A,1252.08,First Class Flight,3074.21,dataset_2
Brasilia (DF),2022-03-19,2.0,48.0,Male,,Hotel BW,120.78,premium,1543.1399999999999,dataset_2
Brasilia (DF),2022-03-26,2.0,48.0,Male,,Hotel Z,416.08,First Class Flight,2174.1099999999997,dataset_2
Aracaju (SE),2022-09-30,1.0,48.0,Male,,Hotel BD,242.88,Economy Flight,681.9300000000001,dataset_2
Rio de Janeiro (RJ),2022-10-13,2.0,48.0,Male,,Hotel CB,331.98,First Class Flight,2572.49,dataset_2
Aracaju (SE),2022-10-15,2.0,48.0,Male,,Hotel CB,331.98,First Class Flight,2572.49,dataset_2
Brasilia (DF),2022-10-30,3.0,48.0,Male,,Hotel K,790.23,Economy Flight,1530.91,dataset_2
Brasilia (DF),2019-12-13,1.0,49.0,None,,Hotel K,263.41,First Class Flight,2706.08,dataset_2
Brasilia (DF),2020-02-09,3.0,49.0,None,,Hotel K,790.23,Economy Flight,1546.0,dataset_2
Aracaju (SE),2020-08-22,2.0,49.0,None,,Hotel K,526.82,First Class Flight,3215.9700000000003,dataset_2
Salvador (BH),2020-08-27,1.0,49.0,None,,Hotel K,263.41,Economy Flight,1613.05,dataset_2
Recife (PE),2020-08-28,1.0,49.0,None,,Hotel K,263.41,Economy Flight,1613.05,dataset_2
Aracaju (SE),2019-11-28,2.0,23.0,None,,Hotel Z,416.08,First Class Flight,2174.1099999999997,dataset_2
Brasilia (DF),2019-11-30,2.0,23.0,None,,Hotel Z,416.08,First Class Flight,2174.1099999999997,dataset_2
Aracaju (SE),2020-01-18,2.0,23.0,None,,Hotel CB,331.98,First Class Flight,2576.3199999999997,dataset_2
Recife (PE),2019-12-28,2.0,25.0,Female,,Hotel Z,416.08,Economy Flight,1289.02,dataset_2
Aracaju (SE),2020-02-03,4.0,25.0,Female,,Hotel K,1053.64,premium,2497.83,dataset_2
Recife (PE),2020-05-22,1.0,25.0,Female,,Hotel A,313.02,First Class Flight,2655.13,dataset_2
Brasilia (DF),2020-08-16,3.0,25.0,Female,,Hotel BD,728.64,Economy Flight,1489.17,dataset_2
Aracaju (SE),2020-10-30,1.0,25.0,Female,,Hotel BP,247.62,Economy Flight,1127.6,dataset_2
Recife (PE),2021-01-09,2.0,25.0,Female,,Hotel A,626.04,Economy Flight,1498.69,dataset_2
Brasilia (DF),2021-02-07,3.0,25.0,Female,,Hotel Z,624.12,premium,1742.69,dataset_2
Florianopolis (SC),2021-03-04,1.0,25.0,Female,,Hotel A,313.02,premium,2083.94,dataset_2
Recife (PE),2021-03-05,1.0,25.0,Female,,Hotel A,313.02,premium,2083.94,dataset_2
Rio de Janeiro (RJ),2021-04-29,4.0,25.0,Female,,Hotel CB,663.96,First Class Flight,3228.95,dataset_2
Recife (PE),2021-05-03,4.0,25.0,Female,,Hotel CB,663.96,First Class Flight,3228.95,dataset_2
Recife (PE),2021-05-13,4.0,25.0,Female,,Hotel AU,1251.32,Economy Flight,825.78,dataset_2
Brasilia (DF),2021-05-17,4.0,25.0,Female,,Hotel AU,1251.32,Economy Flight,825.78,dataset_2
Aracaju (SE),2021-05-23,3.0,25.0,Female,,Hotel AU,938.49,Economy Flight,1289.02,dataset_2
Recife (PE),2021-06-07,4.0,25.0,Female,,Hotel CB,663.96,Economy Flight,1841.52,dataset_2
Sao Paulo (SP),2021-07-01,2.0,25.0,Female,,Hotel AF,278.2,First Class Flight,2417.05,dataset_2
Recife (PE),2021-07-03,2.0,25.0,Female,,Hotel AF,278.2,First Class Flight,2417.05,dataset_2
Brasilia (DF),2021-08-09,4.0,25.0,Female,,Hotel AU,1251.32,premium,1197.76,dataset_2
Recife (PE),2021-09-05,3.0,25.0,Female,,Hotel BP,742.86,premium,1197.76,dataset_2
Aracaju (SE),2021-09-19,3.0,25.0,Female,,Hotel CB,497.97,premium,2098.9300000000003,dataset_2
Brasilia (DF),2021-10-16,2.0,25.0,Female,,Hotel Z,416.08,premium,1742.69,dataset_2
Recife (PE),2021-12-25,2.0,25.0,Female,,Hotel BP,495.24,premium,1197.76,dataset_2
Brasilia (DF),2022-01-24,4.0,25.0,Female,,Hotel K,1053.64,First Class Flight,2717.63,dataset_2
Brasilia (DF),2022-02-13,3.0,25.0,Female,,Hotel AU,938.49,Economy Flight,825.78,dataset_2
Recife (PE),2022-03-12,2.0,25.0,Female,,Hotel K,526.82,Economy Flight,1609.38,dataset_2
Salvador (BH),2022-07-07,4.0,25.0,Female,,Hotel K,1053.64,First Class Flight,2924.96,dataset_2
Recife (PE),2022-07-11,4.0,25.0,Female,,Hotel K,1053.64,First Class Flight,2924.96,dataset_2
Brasilia (DF),2022-08-12,1.0,25.0,Female,,Hotel AF,139.1,Economy Flight,927.6399999999999,dataset_2
Salvador (BH),2022-10-13,2.0,25.0,Female,,Hotel K,526.82,First Class Flight,2706.08,dataset_2
Brasilia (DF),2022-10-15,2.0,25.0,Female,,Hotel K,526.82,First Class Flight,2706.08,dataset_2
Sao Paulo (SP),2022-11-17,4.0,25.0,Female,,Hotel AF,556.4,First Class Flight,2417.05,dataset_2
Recife (PE),2022-11-21,4.0,25.0,Female,,Hotel AF,556.4,First Class Flight,2417.05,dataset_2
Natal (RN),2022-12-08,1.0,25.0,Female,,Hotel BD,242.88,premium,1037.83,dataset_2
Recife (PE),2022-12-09,1.0,25.0,Female,,Hotel BD,242.88,premium,1037.83,dataset_2
Natal (RN),2023-01-12,2.0,25.0,Female,,Hotel BD,485.76,premium,1068.35,dataset_2
Recife (PE),2023-01-14,2.0,25.0,Female,,Hotel BD,485.76,premium,1068.35,dataset_2
Brasilia (DF),2023-01-26,2.0,25.0,Female,,Hotel BP,495.24,Economy Flight,860.5799999999999,dataset_2
Recife (PE),2023-01-28,2.0,25.0,Female,,Hotel BP,495.24,Economy Flight,860.5799999999999,dataset_2
Campo Grande (MS),2023-02-02,4.0,25.0,Female,,Hotel BW,241.56,Economy Flight,1223.1399999999999,dataset_2
Recife (PE),2023-02-06,4.0,25.0,Female,,Hotel BW,241.56,Economy Flight,1223.1399999999999,dataset_2
Natal (RN),2023-02-09,4.0,25.0,Female,,Hotel BD,971.52,premium,906.62,dataset_2
Aracaju (SE),2023-02-13,4.0,25.0,Female,,Hotel BD,971.52,premium,906.62,dataset_2
Rio de Janeiro (RJ),2023-03-30,1.0,25.0,Female,,Hotel CB,165.99,premium,2029.0500000000002,dataset_2
Aracaju (SE),2023-03-31,1.0,25.0,Female,,Hotel CB,165.99,premium,2029.0500000000002,dataset_2
Sao Paulo (SP),2023-04-13,3.0,25.0,Female,,Hotel AF,417.3,First Class Flight,1816.48,dataset_2
Brasilia (DF),2023-04-16,3.0,25.0,Female,,Hotel AF,417.3,First Class Flight,1816.48,dataset_2
Rio de Janeiro (RJ),2020-08-20,3.0,59.0,None,,Hotel CB,497.97,First Class Flight,3276.4,dataset_2
Recife (PE),2020-08-23,3.0,59.0,None,,Hotel CB,497.97,First Class Flight,3276.4,dataset_2
Recife (PE),2021-01-28,1.0,59.0,None,,Hotel AU,312.83,Economy Flight,1289.02,dataset_2
Aracaju (SE),2021-01-29,1.0,59.0,None,,Hotel AU,312.83,Economy Flight,1289.02,dataset_2
Brasilia (DF),2021-02-07,3.0,59.0,None,,Hotel K,790.23,premium,2151.83,dataset_2
Brasilia (DF),2021-04-03,2.0,59.0,None,,Hotel AF,278.2,Economy Flight,927.6399999999999,dataset_2
Brasilia (DF),2021-05-01,2.0,59.0,None,,Hotel AF,278.2,premium,1300.22,dataset_2
Brasilia (DF),2021-05-24,4.0,59.0,None,,Hotel BD,971.52,premium,2027.4099999999999,dataset_2
Brasilia (DF),2021-05-29,2.0,59.0,None,,Hotel K,526.82,Economy Flight,1530.91,dataset_2
Aracaju (SE),2021-06-06,3.0,59.0,None,,Hotel K,790.23,First Class Flight,3243.73,dataset_2
Recife (PE),2021-06-13,3.0,59.0,None,,Hotel BW,181.17,Economy Flight,1223.1399999999999,dataset_2
Brasilia (DF),2021-09-03,1.0,59.0,None,,Hotel BD,242.88,Economy Flight,1412.98,dataset_2
Recife (PE),2021-10-01,1.0,59.0,None,,Hotel BW,60.39,Economy Flight,1223.1399999999999,dataset_2
